"","id","lat","lon","val"
"274",274,88.5,49.5,0
"275",275,88.5,51,0
"276",276,88.5,52.5,0
"277",277,88.5,54,0
"278",278,88.5,55.5,0
"279",279,88.5,57,0
"280",280,88.5,58.5,0
"281",281,88.5,60,0
"282",282,88.5,61.5,0
"283",283,88.5,63,0
"284",284,88.5,64.5,0
"285",285,88.5,66,0
"286",286,88.5,67.5,0
"287",287,88.5,69,0
"288",288,88.5,70.5,0
"289",289,88.5,72,0
"290",290,88.5,73.5,0
"291",291,88.5,75,0
"292",292,88.5,76.5,0
"293",293,88.5,78,0
"294",294,88.5,79.5,0
"295",295,88.5,81,0
"296",296,88.5,82.5,0
"297",297,88.5,84,0
"298",298,88.5,85.5,0
"299",299,88.5,87,0
"300",300,88.5,88.5,0
"301",301,88.5,90,0
"302",302,88.5,91.5,0
"303",303,88.5,93,0
"304",304,88.5,94.5,0
"305",305,88.5,96,0
"306",306,88.5,97.5,0
"307",307,88.5,99,0
"308",308,88.5,100.5,0
"309",309,88.5,102,0
"310",310,88.5,103.5,0
"311",311,88.5,105,0
"312",312,88.5,106.5,0
"313",313,88.5,108,0
"314",314,88.5,109.5,0
"315",315,88.5,111,0
"316",316,88.5,112.5,0
"317",317,88.5,114,0
"318",318,88.5,115.5,0
"319",319,88.5,117,0
"320",320,88.5,118.5,0
"321",321,88.5,120,0
"322",322,88.5,121.5,0
"323",323,88.5,123,0
"324",324,88.5,124.5,0
"325",325,88.5,126,0
"326",326,88.5,127.5,0
"327",327,88.5,129,0
"328",328,88.5,130.5,0
"329",329,88.5,132,0
"330",330,88.5,133.5,0
"331",331,88.5,135,0
"332",332,88.5,136.5,0
"333",333,88.5,138,0
"334",334,88.5,139.5,0
"335",335,88.5,141,0
"336",336,88.5,142.5,0
"337",337,88.5,144,0
"338",338,88.5,145.5,0
"339",339,88.5,147,0
"340",340,88.5,148.5,0
"341",341,88.5,150,0
"342",342,88.5,151.5,0
"343",343,88.5,153,0
"344",344,88.5,154.5,0
"345",345,88.5,156,0
"346",346,88.5,157.5,0
"347",347,88.5,159,0
"348",348,88.5,160.5,0
"349",349,88.5,162,0
"350",350,88.5,163.5,0
"351",351,88.5,165,0
"352",352,88.5,166.5,0
"353",353,88.5,168,0
"354",354,88.5,169.5,0
"355",355,88.5,171,0
"356",356,88.5,172.5,0
"357",357,88.5,174,0
"358",358,88.5,175.5,0
"359",359,88.5,177,0
"360",360,88.5,178.5,0
"361",361,88.5,180,0
"362",362,88.5,181.5,0
"363",363,88.5,183,0
"364",364,88.5,184.5,0
"365",365,88.5,186,0
"366",366,88.5,187.5,0
"367",367,88.5,189,0
"368",368,88.5,190.5,0
"369",369,88.5,192,0
"370",370,88.5,193.5,0
"371",371,88.5,195,0
"372",372,88.5,196.5,0
"373",373,88.5,198,0
"374",374,88.5,199.5,0
"375",375,88.5,201,0
"376",376,88.5,202.5,0
"377",377,88.5,204,0
"378",378,88.5,205.5,0
"379",379,88.5,207,0
"380",380,88.5,208.5,0
"381",381,88.5,210,0
"382",382,88.5,211.5,0
"383",383,88.5,213,0
"384",384,88.5,214.5,0
"385",385,88.5,216,0
"386",386,88.5,217.5,0
"387",387,88.5,219,0
"388",388,88.5,220.5,0
"389",389,88.5,222,0
"390",390,88.5,223.5,0
"391",391,88.5,225,0
"392",392,88.5,226.5,0
"393",393,88.5,228,0
"394",394,88.5,229.5,0
"395",395,88.5,231,0
"396",396,88.5,232.5,0
"397",397,88.5,234,0
"398",398,88.5,235.5,0
"399",399,88.5,237,0
"400",400,88.5,238.5,0
"401",401,88.5,240,0
"402",402,88.5,241.5,0
"403",403,88.5,243,0
"404",404,88.5,244.5,0
"405",405,88.5,246,0
"406",406,88.5,247.5,0
"407",407,88.5,249,0
"408",408,88.5,250.5,0
"409",409,88.5,252,0
"410",410,88.5,253.5,0
"411",411,88.5,255,0
"412",412,88.5,256.5,0
"413",413,88.5,258,0
"414",414,88.5,259.5,0
"415",415,88.5,261,0
"416",416,88.5,262.5,0
"417",417,88.5,264,0
"418",418,88.5,265.5,0
"419",419,88.5,267,0
"420",420,88.5,268.5,0
"421",421,88.5,270,0
"422",422,88.5,271.5,0
"423",423,88.5,273,0
"424",424,88.5,274.5,0
"425",425,88.5,276,0
"426",426,88.5,277.5,0
"427",427,88.5,279,0
"428",428,88.5,280.5,0
"429",429,88.5,282,0
"430",430,88.5,283.5,0
"431",431,88.5,285,0
"432",432,88.5,286.5,0
"433",433,88.5,288,0
"434",434,88.5,289.5,0
"435",435,88.5,291,0
"436",436,88.5,292.5,0
"437",437,88.5,294,0
"438",438,88.5,295.5,0
"439",439,88.5,297,0
"440",440,88.5,298.5,0
"441",441,88.5,300,0
"442",442,88.5,301.5,0
"443",443,88.5,303,0
"444",444,88.5,304.5,0
"445",445,88.5,306,0
"446",446,88.5,307.5,0
"447",447,88.5,309,0
"448",448,88.5,310.5,0
"449",449,88.5,312,0
"450",450,88.5,313.5,0
"451",451,88.5,315,0
"452",452,88.5,316.5,0
